@relation ndviproxys
@attribute ELARRAS numeric
@attribute RBPP-J numeric
@attribute RLSAL-S numeric
@attribute FDR-S numeric
@attribute LL-Salta numeric
@attribute RBlan-J numeric
@attribute FLPich-S numeric
@attribute DQESC-T numeric
@attribute RHorq-Tuc numeric
@attribute NDVI numeric
@data
988,1038,1050,1091,870,1047,289,758,1700,?
956,1003,1104,1327,1040,1263,881,588,1997,?
970,968,456,1633,1490,1050,1474,293,1260,?
967,977,478,2580,2191,1056,1824,1310,1260,?
984,1000,736,2997,2602,1479,3039,1595,472,?
996,1084,736,4903,2708,985,3652,1581,512,?
1043,1006,736,5486,2838,870,3656,1928,44,?
1061,1076,994,5931,2349,1228,2541,3159,336,?
1083,1117,457,7093,2503,1544,4007,3646,836,?
1107,1051,1531,6599,1955,1137,3470,4892,836,?
1313,814,960,7574,1313,133,4234,4095,836,?
1210,797,1557,6893,1259,850,3674,3393,836,?
1209,772,1894,6841,847,4957,3659,4665,836,?
1151,1031,1380,885,867,2571,1270,2809,1336,?
1112,715,1357,792,875,186,556,2148,1410,?
1050,1116,1140,813,260,14,606,1557,1402,?
1054,770,1128,993,273,111,919,1619,1338,?
1269,1138,2070,1055,1373,202,959,2489,1185,?
1003,1315,738,857,966,5,1870,2729,1197,?
1146,1529,1263,1373,736,120,1213,1687,1260,?
1054,1095,1416,1063,707,235,980,1533,1213,?
1018,932,1174,1394,589,157,1222,1531,1075,?
1018,728,1183,1233,568,79,1374,1429,1119,?
1040,606,1980,1042,1417,496,439,1630,876,?
854,592,1169,638,435,238,1438,1473,862,?
916,1094,1483,517,140,173,1365,1761,1164,?
942,1150,1456,587,400,139,1093,1297,1275,?
934,517,1307,779,333,87,1026,919,1321,?
924,445,1058,1202,104,127,963,505,1418,?
940,1215,707,2155,224,127,1019,307,1444,?
970,1138,850,2093,248,127,1108,385,1415,?
977,1127,1172,1402,234,168,1413,602,1311,?
1037,1481,1071,2057,363,133,1580,429,1307,?
929,457,601,3049,239,138,1275,133,1429,?
991,1028,944,2269,180,143,1506,251,1341,?
973,913,799,2389,143,151,1308,214,1377,?
957,649,75,2871,545,365,1131,635,1388,?
903,1052,652,2329,481,719,1419,551,1184,?
908,985,624,2269,591,748,1489,623,1029,?
922,1008,638,2015,605,1156,1555,389,921,?
920,680,263,2281,716,845,1978,302,701,?
941,1208,536,1655,655,1351,1724,307,527,?
956,1107,1486,964,633,1525,1407,898,41,?
932,512,1596,878,1093,1633,1590,956,412,?
943,1588,1389,802,1017,1923,1718,932,325,?
932,774,1313,820,902,1947,1850,917,748,?
938,1065,1272,793,942,1596,1837,982,990,?
933,779,868,816,1148,998,2282,923,1031,?
938,1674,1034,1054,951,947,906,876,1545,?
908,948,1029,557,1782,1878,3402,774,645,?
887,1170,1025,1469,1229,1105,1803,855,2024,?
917,1174,892,1184,1045,1336,2751,711,2241,?
911,1996,698,1110,1665,1104,4398,621,1811,?
947,435,698,536,854,1577,3102,644,2176,?
945,1069,698,767,720,696,5000,635,1973,?
951,1052,698,767,709,693,6697,569,2020,?
982,713,698,767,990,1037,8134,442,666,?
976,833,698,767,594,2106,9571,561,352,?
984,597,505,998,409,1570,1186,207,3487,?
1021,815,1041,1331,224,844,1666,801,829,?
1008,924,1023,751,116,844,1207,769,767,?
1053,672,1023,532,173,118,1291,738,479,?
945,758,1006,314,480,2178,2284,605,341,?
907,1254,1790,771,422,1620,3206,316,461,?
932,1155,1649,173,704,1438,2418,210,170,?
903,479,854,512,688,2564,2049,104,192,?
898,1204,60,512,1391,3926,2188,371,192,?
897,1079,694,512,1256,2636,2072,522,192,?
893,1294,1025,512,1642,2923,1169,602,192,?
879,815,475,512,1490,2936,2212,822,192,?
842,1199,782,512,2206,5254,1695,1354,192,?
874,1333,929,512,2847,4390,767,780,192,?
857,518,490,512,1194,1912,1795,819,192,?
825,889,1010,851,1210,1255,1143,543,192,?
882,1424,1063,1679,1159,956,790,367,214,?
919,630,1370,2469,762,911,857,442,616,?
886,798,1659,3294,766,14,1325,515,1164,?
874,2151,1153,2930,676,192,1748,351,1348,?
857,555,522,3353,334,210,1749,36,1626,?
871,503,779,2492,518,210,1733,1295,1464,?
876,2775,630,3080,396,210,1756,1295,1683,?
896,183,1369,2869,376,210,1947,1295,1360,?
914,2085,1423,2979,378,210,3023,1295,1799,?
1325,688,1090,1511,276,210,2502,2554,1119,?
1162,1810,1153,1050,213,210,1622,1952,1227,?
1068,83,1116,1181,86,210,1392,1711,1171,?
1132,1709,1128,1127,108,210,1837,1718,1118,?
1148,1291,1074,954,127,229,2331,1736,1021,?
1040,806,773,1459,431,532,1827,1368,990,?
1078,1193,1001,868,431,836,2128,1205,990,?
1177,753,1079,1145,735,1108,1299,1615,925,?
558,1408,843,1024,109,1897,2272,1080,968,?
152,1950,1013,952,279,1369,2109,1088,994,?
104,73,1074,887,312,1102,2140,1006,1016,?
624,964,1260,888,386,1386,2473,1135,854,?
749,1764,1338,884,661,1064,2502,1099,1005,?
1037,2797,1223,943,784,771,1642,1193,944,?
805,1185,1079,1001,572,1215,1456,1037,1045,?
1098,587,866,922,100,1651,1731,915,1030,?
654,1531,1061,997,536,1288,1226,1083,1052,?
678,870,1334,807,932,441,996,1184,1041,?
550,792,1275,774,907,325,1113,1206,1034,?
1272,1077,1167,836,704,320,1295,1157,1032,?
2819,1216,1173,854,891,549,1490,1417,917,?
711,1675,1182,703,805,319,1364,1421,942,?
2047,383,1208,789,1000,392,1221,1372,1020,?
2469,957,1164,1007,935,975,1193,1311,1022,?
1078,632,1035,857,834,714,1534,1218,803,?
1692,1037,823,887,863,537,1697,1319,870,?
2613,1029,810,788,1105,1024,1912,1480,801,?
1550,918,810,940,985,807,1660,1215,679,?
1011,696,1063,1297,739,546,1490,823,967,?
1917,577,1098,1375,757,597,1306,650,1243,?
655,885,1026,1265,896,670,1004,651,1194,?
323,2183,1100,1133,883,929,1129,616,1310,?
1654,628,947,1715,835,866,1247,640,1724,?
1266,2857,976,1443,1022,951,1273,893,1358,?
756,383,1076,1101,902,992,1556,913,1455,?
1059,1933,1029,1589,771,1123,1402,770,1860,?
871,665,982,1322,887,1236,1413,813,1789,?
739,1196,1227,1194,910,1081,1505,868,1806,?
228,597,1604,1464,638,1033,1508,868,1977,?
344,1153,1500,1579,660,755,1407,784,1610,?
907,1002,1239,1373,749,776,1047,518,1234,?
941,1366,945,1030,990,967,152,249,940,?
831,782,724,1062,1074,714,460,182,847,?
1034,1018,472,535,1091,923,460,253,1162,?
192,853,930,309,858,979,460,503,1067,?
941,914,1802,860,339,1515,768,911,494,?
581,855,1649,1412,677,1437,4146,1110,641,?
484,705,1496,1063,1015,1359,385,589,829,?
1189,1039,1538,1063,1114,1319,1372,839,1049,?
630,919,1268,715,973,782,1441,906,867,?
791,806,1176,729,991,979,1187,722,279,?
1439,908,1249,2519,987,964,1563,679,359,?
845,711,1121,916,1023,873,1293,810,416,?
679,841,1148,1265,1105,884,1065,896,723,?
1000,1397,1173,1875,1126,956,1031,287,642,?
844,1254,925,823,1126,1033,1480,1644,791,?
534,590,1046,411,766,711,1847,1475,463,?
736,965,2458,771,2208,1292,1097,812,326,?
1546,519,558,737,897,1866,1385,1399,533,?
741,806,673,2175,819,2148,670,1396,1100,?
1063,1189,1132,2073,1193,1674,656,551,740,?
846,622,1149,1410,1112,1485,857,657,890,?
907,806,1407,213,1382,1364,1271,1356,907,?
632,1336,1086,705,1021,1160,1145,1515,325,?
1416,861,1101,668,956,626,1206,1291,712,?
729,939,1371,917,1267,730,1140,1325,531,?
721,1385,1346,1239,1222,711,1134,622,611,?
